# Time, Detrended Flux
8.915207362015549734e+03,-4.211931587937645105e-03
8.915207942571309104e+03,-4.361396980852139116e-03
8.915208526136171713e+03,1.964772589367669298e-03
8.915209100904692605e+03,1.224094014537269182e-03
8.915209673589844897e+03,-1.718493429131551231e-03
8.915210256344456866e+03,3.711908583379663895e-03
8.915210837015700235e+03,-2.516614323533783448e-03
8.915211421274863824e+03,2.185944880493950748e-03
8.915211996159334376e+03,4.447578502140281387e-04
8.915212574747209146e+03,-2.236015707508864914e-03
8.915213147432361438e+03,-1.595997512742974855e-03
8.915213729261238768e+03,5.630646798052696411e-04
8.915214307733163878e+03,-4.453548361865400373e-03
8.915214888404872909e+03,-1.543517777140568370e-03
8.915215470349234238e+03,1.245201108175497673e-03
8.915216046737790748e+03,1.433207592719365486e-03
8.915216620233193680e+03,-4.441717299836112076e-03
8.915217203682572290e+03,-1.142211578752050372e-03
8.915217782849264040e+03,-2.424725204291822145e-03
8.915218362131439790e+03,-3.260642581904504844e-03
8.915218955649812415e+03,1.328066462683574755e-03
8.915219564446066215e+03,-7.453208270943312286e-04
8.915220145001825585e+03,3.209948113338745301e-03
8.915220725673068955e+03,1.037474283317907364e-03
8.915221305765961006e+03,1.313643893400273654e-03
8.915221886900071695e+03,5.242192599672845787e-03
8.915222466066763445e+03,-2.181639127181722593e-03
8.915223096622437879e+03,-3.037779881380875402e-03
8.915223672779560729e+03,3.566057587643944871e-04
8.915224249168582901e+03,9.832436341201677976e-04
8.915224829029575631e+03,8.756509094700604123e-04
8.915225415372107818e+03,4.324605216879939817e-04
8.915225991761129990e+03,-1.474819213360012427e-03
8.915226589098856493e+03,-2.977401412937452641e-03
8.915227164562144026e+03,2.145432023305193781e-03
8.915227748127006635e+03,6.016824774039974955e-04
8.915228328682300344e+03,-1.981035216478077565e-03
8.915228907848992094e+03,3.894310881425999682e-04
8.915229485626616224e+03,1.746903744893613109e-03
8.915230066182375595e+03,-1.486960886816435234e-03
8.915230643265698745e+03,6.727275426732237662e-04
8.915231216066800698e+03,2.561127618168290709e-03
8.915231798126646027e+03,3.670474867595308055e-04
8.915232380997207656e+03,-1.210138338802790869e-03
8.915232960279849067e+03,-8.249561906769065089e-04
8.915233540024892136e+03,2.339599917477341862e-03
8.915234117108215287e+03,2.884574038397369478e-03
8.915234691297919198e+03,5.921043300849859747e-03
8.915235274168480828e+03,3.383139399075307807e-03
8.915235851946104958e+03,-3.222124846127050191e-03
8.915236433196165308e+03,-2.428411990186840619e-03
8.915237014562175318e+03,7.355101769477290219e-04
8.915237621969361498e+03,2.839921312333348880e-03
8.915238201020569250e+03,9.084727443686713144e-04
8.915238780302744999e+03,-2.022458555996364815e-03
8.915239361900188669e+03,3.981447300521523402e-03
8.915239943728600338e+03,-6.963764171796782421e-05
8.915240522895292088e+03,5.006543401180119091e-03
8.915241130186994269e+03,3.522772904211546319e-03
8.915241707270317420e+03,-1.548937012766926635e-03
8.915242290835180029e+03,-4.200127427037014805e-03
8.915242874400042638e+03,2.008536697089224887e-03
8.915243451251932129e+03,1.928652586357104681e-03
8.915244034122028097e+03,7.963723910042741494e-04
8.915244656576127454e+03,3.548007027438293548e-03
8.915245232154433324e+03,3.487603362317237554e-03
8.915245816992413893e+03,1.977270753017013050e-03
8.915246397779606923e+03,-6.150084982845527293e-04
8.915246974052679434e+03,1.072703934290997196e-02
8.915247557617542043e+03,-1.741718893353172426e-03
8.915248151135914668e+03,-1.963703914553249774e-03
8.915248726830635860e+03,-1.881344116178462755e-03
8.915249303682525351e+03,-3.774622828479401448e-03
8.915249881460149481e+03,3.052858960898019447e-03
8.915250464330711111e+03,2.766857419456369982e-03
