Sp_ID,2MASS_ID,gaia,RA_1,DEC_1,,
Sp0427+0859,04270723+0859027,3299496547982121216,66.7801872,8.9840818,,
Sp0429-4405,04290233-4405463,4791186965315184640,67.2601954,-44.0961953,,
Sp0429-6649,04291099-6649434,4656710057512911488,67.2977915,-66.8287509,,
Sp0430-0849,04305157-0849007,3197623290976364544,67.7149186,-8.8169246,,
Sp0431+6035,04313070+6035588,471567278594453376,67.8783902,60.5996956,,
Sp0432-0639,04323767-0639501,3198539905714619264,68.1570202,-6.6639865,,
Sp0433+5635,04333002+5635320,277483990023898240,68.3754491,56.592321,,
Sp0433-3210,04335783-3210308,4871706606997689216,68.4910672,-32.1752132,,
Sp0436+4810,04363863+4810044,257502810028612992,69.1607945,48.1679355,,
Sp0436-2338,04365479-2338202,4894826415951734144,69.2284332,-23.6389884,,
Sp0439-2353,04390101-2353083,4894945708668731264,69.7541429,-23.885692,,
Sp0439-6105,04392328-6105004,4677650123320081152,69.8472314,-61.0834345,,
Sp0440-0530,04402325-0530082,3200303384927512960,70.0969905,-5.5022581,,
Sp0442-1356,04420071-1356232,3174528461551365888,70.5030622,-13.9397691,,
Sp0443-3202,04430581-3202090,4877448669035035520,70.7742406,-32.0357489,,
Sp0444-3655,04443824-3655452,4866394831963983744,71.1594043,-36.9291996,,
Sp0445-0602,04451119-0602526,3199991535942307584,71.2966526,-6.047983,,
Sp0445+0938,04452766+0938322,3293037741802934528,71.3652854,9.6422999,,
Sp0445-3642,04453237-3642258,4866773609425146496,71.3852704,-36.7071335,,
Sp0445-3048,04455387-3048204,4878035808244168832,71.4746823,-30.805733,,
Sp0447+1436,04473568+1436274,3308694237625985280,71.8984172,14.6076079,,
Sp0447+2819,04474757+2819165,154788598418435328,71.9483171,28.3210309,,
Sp0448-4636,04480936-4636030,4787127426650318848,72.0390195,-46.6008912,,
Sp0449+5138,04490464+5138412,260343119139306240,72.2692667,51.6447476,,
Sp0449-0228,04490580-0228233,3225923960064578176,72.2742115,-2.4731158,,
Sp0451-3402,04510093-3402150,4873243032763432064,72.7540265,-34.0374764,,
Sp0451+0305,04511406+0305285,3233120164884973824,72.8085978,3.091247,,
Sp0451-5818,04513734-5818519,4774420478143249536,72.9048962,-58.3144561,,
Sp0453-1751,04532647-1751543,2979566285233332608,73.3603418,-17.8650882,,
Sp0453+2033,04533425+2033517,3411692668689199744,73.3927888,20.5643125,,
Sp0454-4945,04540041-4945228,4785448614130284416,73.5022966,-49.7563674,,
Sp0455+5252,04551182+5252292,261069144711056384,73.798902,52.8747787,,
Sp0455-2701,04553267-2701493,4880607531583589632,73.8861977,-27.0304073,,
Sp0456-0932,04560282-0932592,3183260095703769088,74.011797,-9.5497927,,
