# JD_UTC, Flux, Err, XShift, YShift, FWHM_X,  FWHM_Y, FWHM, SKY, AIRMASS, ExpTime
8.905753702546469867e+03 9.967460319141788760e-01 1.916629270679181532e-03 -5.114970440051821443e-01 -4.664228040912041240e-01 5.003717290615734115e+00 5.003717290615734115e+00 5.003717290615734115e+00 5.190484727804222302e+02 1.474838888869999920e+00 4.000000000000000000e+01
8.905754405092447996e+03 1.009716081091764472e+00 1.921575641626414562e-03 -6.937210262955290085e-02 2.933766000065436974e-01 5.098164826311415432e+00 5.098164826311415432e+00 5.098164826311415432e+00 5.194754943624774342e+02 1.468598171080000014e+00 4.000000000000000000e+01
8.905755093402694911e+03 9.969702401790918600e-01 1.886106702092554474e-03 -2.827299681659982133e-01 1.649423362971396967e-01 6.484101546261041626e+00 6.484101546261041626e+00 6.484101546261041626e+00 5.162989139033966239e+02 1.462418140840000103e+00 4.000000000000000000e+01
8.905755784606561065e+03 9.950168292813051929e-01 1.906705608136264728e-03 -1.516258366077823938e-01 -3.255301850320262980e-01 5.496805366335594911e+00 5.496805366335594911e+00 5.496805366335594911e+00 5.146931566826044673e+02 1.456246043429999970e+00 4.000000000000000000e+01
8.905756484143435955e+03 9.984928625717646167e-01 1.904799654885385059e-03 -8.051573025413838458e-01 -6.937149659612481534e-01 5.454092586898780404e+00 5.454092586898780404e+00 5.454092586898780404e+00 5.136246163775645073e+02 1.450181375529999928e+00 4.000000000000000000e+01
8.905757178356405348e+03 1.000212524153466953e+00 1.906890102290460668e-03 3.970748340530160236e-01 3.846865944578540808e-01 5.465221840156536004e+00 5.465221840156536004e+00 5.465221840156536004e+00 5.136093421578999596e+02 1.444172387799999902e+00 4.000000000000000000e+01
8.905757875347044319e+03 1.000812288991108634e+00 1.903467080279887605e-03 -7.694178320924834058e-02 -4.559449740901524994e-01 5.638123478481068318e+00 5.638123478481068318e+00 5.638123478481068318e+00 5.183612558784958537e+02 1.438335962460000061e+00 4.000000000000000000e+01
8.905758560532238334e+03 9.965786324298758769e-01 1.888649684570823262e-03 -3.067574274818258839e-01 -5.697959724764491973e-01 6.372598841580411566e+00 6.372598841580411566e+00 6.372598841580411566e+00 5.163907477542569495e+02 1.432428320869999938e+00 4.000000000000000000e+01
8.905759261921513826e+03 9.941148692644957707e-01 1.890408500394130751e-03 5.931713240575785945e-02 3.565192445261599063e-01 5.999255820929308314e+00 5.999255820929308314e+00 5.999255820929308314e+00 5.104610106429159373e+02 1.426644975200000109e+00 4.000000000000000000e+01
8.905759957291651517e+03 9.978980389403192541e-01 1.894851128100939926e-03 5.460953047613129052e-02 2.879108899553918244e-01 5.927131689513763568e+00 5.927131689513763568e+00 5.927131689513763568e+00 5.062622761469084480e+02 1.420974606269999940e+00 4.000000000000000000e+01
8.905760647916700691e+03 1.001079166697307343e+00 1.903510042020385836e-03 2.759228916783594901e-02 2.005222465083248973e-01 5.494104116572617436e+00 5.494104116572617436e+00 5.494104116572617436e+00 5.029460104074763649e+02 1.415280676030000073e+00 4.000000000000000000e+01
8.905761347569525242e+03 9.972848511098550972e-01 1.901814193328799085e-03 -2.926613782126487040e-01 -8.570989959943843273e-01 5.087284722615632582e+00 5.087284722615632582e+00 5.087284722615632582e+00 5.007645702745359131e+02 1.409689386199999950e+00 4.000000000000000000e+01
8.905762043634429574e+03 9.997045119110335998e-01 1.901433693986130180e-03 -2.775594525850252903e-01 -7.667593634778078204e-01 5.047803304235337407e+00 5.047803304235337407e+00 5.047803304235337407e+00 4.992229346448842193e+02 1.404196583000000054e+00 4.000000000000000000e+01
8.905762734143529087e+03 9.958819599062359584e-01 1.887024483150453839e-03 -1.730840002033358915e-01 -4.867492652772147932e-01 5.820369089963023157e+00 5.820369089963023157e+00 5.820369089963023157e+00 4.932760351423324323e+02 1.398768875280000046e+00 4.000000000000000000e+01
8.905763427314814180e+03 9.990482606903717810e-01 1.886626580362521250e-03 -1.325517507913702986e-01 -3.347481402919875726e-01 5.830445968975877413e+00 5.830445968975877413e+00 5.830445968975877413e+00 4.850536288943646923e+02 1.393357251999999935e+00 4.000000000000000000e+01
8.905764125000219792e+03 9.950732946041941362e-01 1.882898857909622286e-03 -5.126870012795038678e-02 -1.651281145682226004e-01 5.305177385775054155e+00 5.305177385775054155e+00 5.305177385775054155e+00 4.733094852304312212e+02 1.388023348309999960e+00 4.000000000000000000e+01
8.905764819791540504e+03 9.967117162005609821e-01 1.882765969493206204e-03 4.483684267016142116e-02 -4.513989394098728847e-02 5.418184207554232579e+00 5.418184207554232579e+00 5.418184207554232579e+00 4.691729599765161538e+02 1.382809591760000067e+00 4.000000000000000000e+01
8.905765508680604398e+03 9.996046184546654167e-01 1.883770780791410582e-03 1.612572948687394092e-01 -1.051842416048573009e-01 5.424700855580891101e+00 5.424700855580891101e+00 5.424700855580891101e+00 4.689455321181139880e+02 1.377600939569999960e+00 4.000000000000000000e+01
8.905766204860992730e+03 1.003076141198307125e+00 1.886423244510765287e-03 7.427862588467930294e-02 -1.564889801850828099e-01 5.706922609186852569e+00 5.706922609186852569e+00 5.706922609186852569e+00 4.749998977092060954e+02 1.372439248889999908e+00 4.000000000000000000e+01
8.905766901736147702e+03 9.959342854707975423e-01 1.873108462059458901e-03 -2.252228964301752900e-01 2.224075374337224076e-02 5.771959027132747444e+00 5.771959027132747444e+00 5.771959027132747444e+00 4.805712534595826924e+02 1.367381230509999934e+00 4.000000000000000000e+01
8.905767592129763216e+03 9.987985405146369011e-01 1.884131772960836657e-03 -7.983356331664964722e-01 -3.277806758514335006e-01 5.129556821999512906e+00 5.129556821999512906e+00 5.129556821999512906e+00 4.789132934819431284e+02 1.362370933950000085e+00 4.000000000000000000e+01
8.905768284838180989e+03 1.000095651365192184e+00 1.885393655513279906e-03 -4.389537678609455873e-01 -4.479434409846672072e-02 4.958455402360446129e+00 4.958455402360446129e+00 4.958455402360446129e+00 4.782430915281277635e+02 1.357376179909999925e+00 4.000000000000000000e+01
8.905768982985988259e+03 9.943415614505466404e-01 1.872915762787368378e-03 -2.425347543179171006e-01 -4.393131884256076258e-01 5.611045453448251230e+00 5.611045453448251230e+00 5.611045453448251230e+00 4.753008643224150660e+02 1.352479343730000005e+00 4.000000000000000000e+01
8.905769675694406033e+03 9.990595320751047836e-01 1.884435108252507061e-03 -1.055216193527690027e+00 -8.051471678727843972e-01 4.724264777792146930e+00 4.724264777792146930e+00 4.724264777792146930e+00 4.736364880829930257e+02 1.347618955109999961e+00 4.000000000000000000e+01
